      Step     Time          Energy          fmax
BFGS:    0 02:18:51     -128.574769        1.984631
BFGS:    1 02:19:57     -128.660099        1.779105
BFGS:    2 02:21:33     -129.026591        0.627689
BFGS:    3 02:22:50     -129.095448        0.191926
BFGS:    4 02:23:48     -129.108521        0.198596
BFGS:    5 02:25:06     -129.113611        0.205904
BFGS:    6 02:26:48     -129.124768        0.214821
BFGS:    7 02:28:15     -129.145579        0.281976
BFGS:    8 02:29:25     -129.172740        0.321456
BFGS:    9 02:30:34     -129.196907        0.297076
BFGS:   10 02:31:35     -129.212457        0.209361
BFGS:   11 02:32:41     -129.216483        0.140343
BFGS:   12 02:33:15     -129.218364        0.158014
BFGS:   13 02:34:01     -129.227542        0.204811
BFGS:   14 02:35:11     -129.242630        0.227087
BFGS:   15 02:36:37     -129.263647        0.179675
BFGS:   16 02:37:57     -129.278549        0.071985
BFGS:   17 02:39:34     -129.282857        0.047850
