      Step     Time          Energy          fmax
FIRE:    0 18:40:23     -125.221677        0.327183
FIRE:    1 18:52:45     -125.222298        0.325596
FIRE:    2 18:58:11     -125.223766        0.321073
FIRE:    3 19:02:53     -125.225835        0.313426
FIRE:    4 19:08:09     -125.228310        0.304288
FIRE:    5 19:13:52     -125.231013        0.292525
FIRE:    6 19:19:39     -125.233686        0.278979
FIRE:    7 19:25:34     -125.236094        0.264007
FIRE:    8 19:31:27     -125.238235        0.246548
FIRE:    9 19:37:57     -125.239768        0.226521
FIRE:   10 19:44:41     -125.240313        0.205885
FIRE:   11 19:51:27     -125.239418        0.193757
FIRE:   12 19:58:28     -125.236597        0.195486
FIRE:   13 20:05:28     -125.231357        0.188842
FIRE:   14 20:12:46     -125.224008        0.192028
FIRE:   15 20:19:17     -125.215629        0.201869
FIRE:   16 20:26:25     -125.207089        0.207109
FIRE:   17 20:33:25     -125.199016        0.206512
FIRE:   18 20:44:02     -125.191633        0.201040
FIRE:   19 20:52:34     -125.185084        0.189256
FIRE:   20 20:59:49     -125.179606        0.174812
FIRE:   21 21:06:11     -125.175519        0.167805
FIRE:   22 21:12:13     -125.172906        0.161149
FIRE:   23 21:18:20     -125.171561        0.152233
FIRE:   24 21:24:24     -125.171213        0.139414
FIRE:   25 21:29:52     -125.171677        0.123902
FIRE:   26 21:35:17     -125.172771        0.110690
FIRE:   27 21:40:49     -125.174206        0.126816
FIRE:   28 21:47:09     -125.175704        0.141417
FIRE:   29 21:55:18     -125.177145        0.153414
FIRE:   30 22:06:01     -125.178550        0.160639
FIRE:   31 22:18:53     -125.179945        0.162021
FIRE:   32 22:32:26     -125.181493        0.155458
FIRE:   33 22:43:25     -125.183481        0.140563
FIRE:   34 22:59:53     -125.186181        0.118120
FIRE:   35 23:12:41     -125.189847        0.094028
