      Step     Time          Energy          fmax
BFGS:    0 15:29:22     -124.889083        2.163060
BFGS:    1 15:32:04     -124.994220        1.922818
BFGS:    2 15:35:57     -125.416996        0.698640
BFGS:    3 15:39:55     -125.513503        0.242358
BFGS:    4 15:43:08     -125.535185        0.294725
BFGS:    5 15:45:47     -125.542917        0.309350
BFGS:    6 15:48:48     -125.556387        0.309273
BFGS:    7 15:52:16     -125.580501        0.270135
BFGS:    8 15:55:56     -125.609355        0.293943
BFGS:    9 16:52:17     -125.634666        0.264071
BFGS:   10 17:59:52     -125.648636        0.177227
BFGS:   11 18:01:24     -125.650989        0.124526
BFGS:   12 18:02:08     -125.651916        0.115185
BFGS:   13 18:03:26     -125.657282        0.133077
BFGS:   14 18:04:42     -125.663872        0.135300
BFGS:   15 18:06:04     -125.671623        0.112168
BFGS:   16 18:07:25     -125.675761        0.132416
BFGS:   17 18:08:35     -125.677022        0.111345
BFGS:   18 18:09:31     -125.677708        0.097279
BFGS:   19 18:10:42     -125.679977        0.084218
BFGS:   20 18:12:07     -125.684753        0.110119
BFGS:   21 18:14:04     -125.694818        0.138918
BFGS:   22 18:16:02     -125.711867        0.153610
BFGS:   23 18:18:04     -125.727373        0.117475
BFGS:   24 18:19:39     -125.734305        0.057971
BFGS:   25 18:21:10     -125.735570        0.052321
BFGS:   26 18:22:24     -125.736072        0.049776
