      Step     Time          Energy          fmax
BFGS:    0 19:00:39      -57.982796       16.373350
BFGS:    1 19:12:49      -61.583000        4.536926
BFGS:    2 19:20:42      -62.136747        2.896242
BFGS:    3 19:27:52      -62.709939        1.470454
BFGS:    4 19:35:40      -63.017434        0.819961
BFGS:    5 19:43:40      -63.195754        0.408630
BFGS:    6 19:53:44      -63.253435        0.214539
BFGS:    7 20:01:51      -63.268813        0.209468
BFGS:    8 20:07:58      -63.272448        0.196577
BFGS:    9 20:17:26      -63.288150        0.334868
BFGS:   10 20:25:25      -63.295669        0.185530
BFGS:   11 20:31:36      -63.308729        0.190350
BFGS:   12 20:42:17      -63.366141        0.063960
BFGS:   13 20:50:23      -63.378551        0.074111
BFGS:   14 20:56:51      -63.383137        0.065897
BFGS:   15 21:06:51      -63.388258        0.119573
BFGS:   16 21:13:52      -63.392286        0.050546
BFGS:   17 21:19:11      -63.393145        0.104649
      Step     Time          Energy          fmax
BFGS:    0 22:24:11      -63.393150        0.070325
BFGS:    1 22:28:35      -63.393667        0.064690
BFGS:    2 22:35:20      -63.409124        0.033837
