      Step     Time          Energy          fmax
BFGS:    0 04:03:48     -127.378807        2.198310
BFGS:    1 04:05:40     -127.480139        1.954970
BFGS:    2 04:08:17     -127.873281        0.705472
BFGS:    3 04:10:37     -127.948306        0.223971
BFGS:    4 04:12:51     -127.962268        0.225016
BFGS:    5 04:14:38     -127.967658        0.230390
BFGS:    6 04:16:45     -127.978894        0.225070
BFGS:    7 04:19:09     -127.998752        0.292554
BFGS:    8 04:22:10     -128.027561        0.338516
BFGS:    9 04:24:50     -128.050500        0.316940
BFGS:   10 04:27:19     -128.065509        0.230025
BFGS:   11 04:29:25     -128.069605        0.165901
BFGS:   12 04:31:13     -128.072406        0.188019
BFGS:   13 04:33:30     -128.082663        0.255784
BFGS:   14 04:36:04     -128.100062        0.293068
BFGS:   15 04:38:53     -128.126750        0.228401
BFGS:   16 04:41:40     -128.140817        0.092977
BFGS:   17 04:43:48     -128.144297        0.048364
