      Step     Time          Energy          fmax
BFGS:    0 13:41:16     -127.378825        2.199669
      Step     Time          Energy          fmax
BFGS:    0 03:12:04     -127.378825        2.199669
BFGS:    1 03:14:06     -127.480194        1.955148
BFGS:    2 03:17:06     -127.873401        0.706221
BFGS:    3 03:19:57     -127.948511        0.223545
BFGS:    4 03:25:13     -127.962561        0.225326
BFGS:    5 03:27:55     -127.968046        0.230669
BFGS:    6 03:30:03     -127.978889        0.224202
BFGS:    7 03:32:29     -127.998859        0.291376
BFGS:    8 03:35:15     -128.028142        0.338150
BFGS:    9 03:37:46     -128.051065        0.317517
BFGS:   10 03:40:19     -128.065936        0.234301
BFGS:   11 03:42:30     -128.070383        0.165287
BFGS:   12 03:44:20     -128.073082        0.186621
BFGS:   13 03:46:38     -128.084282        0.256751
BFGS:   14 03:49:12     -128.101903        0.286911
BFGS:   15 03:52:05     -128.128978        0.211842
BFGS:   16 03:54:58     -128.141733        0.082883
BFGS:   17 03:57:02     -128.144784        0.051659
BFGS:   18 03:58:23     -128.145427        0.051030
BFGS:   19 03:59:44     -128.146289        0.049521
