      Step     Time          Energy          fmax
BFGS:    0 08:53:19      -87.812281        3.249264
BFGS:    1 09:03:51      -88.069254        2.691510
BFGS:    2 09:20:34      -88.742459        1.122159
BFGS:    3 09:31:08      -88.951174        0.502882
BFGS:    4 09:41:14      -89.021861        0.164600
BFGS:    5 09:50:02      -89.030504        0.179242
BFGS:    6 10:01:44      -89.032666        0.185236
BFGS:    7 10:14:30      -89.035770        0.184574
BFGS:    8 10:28:46      -89.046395        0.163846
BFGS:    9 10:38:03      -89.059242        0.168028
BFGS:   10 10:46:19      -89.071157        0.143484
BFGS:   11 10:54:09      -89.080601        0.112608
BFGS:   12 11:02:10      -89.083706        0.050984
BFGS:   13 11:07:51      -89.084165        0.059622
BFGS:   14 11:17:05      -89.078263        0.051831
BFGS:   15 11:25:56      -89.084628        0.038864
