      Step     Time          Energy          fmax
BFGS:    0 13:54:23      -87.812246        3.250042
      Step     Time          Energy          fmax
BFGS:    0 06:34:07      -87.812246        3.250042
BFGS:    1 06:44:12      -88.069189        2.691443
BFGS:    2 06:59:01      -88.742405        1.121976
BFGS:    3 07:10:39      -88.951023        0.503696
BFGS:    4 07:22:49      -89.021784        0.163181
BFGS:    5 07:31:52      -89.030320        0.178021
BFGS:    6 07:39:47      -89.032489        0.184177
BFGS:    7 07:47:40      -89.035589        0.183615
BFGS:    8 07:56:31      -89.046029        0.164554
BFGS:    9 08:05:09      -89.058718        0.172052
BFGS:   10 08:14:51      -89.071340        0.147273
BFGS:   11 08:23:38      -89.079808        0.117634
BFGS:   12 08:32:00      -89.083827        0.048182
