      Step     Time          Energy          fmax
BFGS:    0 11:20:03      -34.597552       12.752193
BFGS:    1 11:37:24      -37.289204        4.042373
BFGS:    2 11:56:03      -37.819347        2.553725
BFGS:    3 13:31:51      -38.335503        1.286155
BFGS:    4 13:46:33      -38.624924        0.690902
BFGS:    5 14:04:34      -38.781586        0.315268
BFGS:    6 14:34:56      -38.834398        0.174742
BFGS:    7 15:00:26      -38.843629        0.192768
BFGS:    8 15:16:32      -38.850903        0.205959
BFGS:    9 15:39:07      -38.857640        0.224437
BFGS:   10 15:50:30      -38.861087        0.196340
BFGS:   11 18:02:43      -38.884277        0.132994
BFGS:   12 18:14:28      -38.920674        0.061371
BFGS:   13 18:26:04      -38.935136        0.059749
BFGS:   14 18:32:00      -38.936448        0.069516
BFGS:   15 18:48:08      -38.906646        0.295756
BFGS:   16 19:01:29      -38.938575        0.069681
BFGS:   17 19:07:50      -38.937921        0.065186
BFGS:   18 19:11:49      -38.938782        0.094120
BFGS:   19 19:17:01      -38.940362        0.058501
BFGS:   20 19:22:31      -38.941012        0.062690
BFGS:   21 19:27:31      -38.942945        0.061061
BFGS:   22 19:39:37      -38.951178        0.136026
BFGS:   23 19:46:57      -38.953019        0.065064
BFGS:   24 19:53:13      -38.957280        0.071155
BFGS:   25 20:05:09      -38.972164        0.071081
BFGS:   26 20:13:44      -38.973149        0.035266
