      Step     Time          Energy          fmax
BFGS:    0 08:48:16      -34.596117       12.752187
BFGS:    1 08:53:56      -37.287012        4.042603
BFGS:    2 08:58:35      -37.816734        2.554216
BFGS:    3 09:04:14      -38.332242        1.283703
BFGS:    4 09:09:53      -38.621088        0.689463
BFGS:    5 09:14:59      -38.777539        0.314268
BFGS:    6 09:19:48      -38.830356        0.174552
BFGS:    7 09:23:06      -38.839666        0.192715
BFGS:    8 09:26:02      -38.846860        0.205571
BFGS:    9 09:29:48      -38.853751        0.230321
BFGS:   10 09:32:21      -38.856954        0.193259
BFGS:   11 09:34:49      -38.874157        0.170855
BFGS:   12 09:39:30      -38.929683        0.110665
BFGS:   13 09:41:57      -38.929737        0.069113
BFGS:   14 09:44:01      -38.933632        0.073264
BFGS:   15 09:48:45      -38.910515        0.259662
BFGS:   16 09:52:58      -38.938542        0.066405
BFGS:   17 09:55:27      -38.938566        0.062760
BFGS:   18 09:57:06      -38.939264        0.059171
BFGS:   19 10:02:01      -38.945752        0.082792
BFGS:   20 10:48:38      -38.946285        0.053097
BFGS:   21 10:50:07      -38.946490        0.051650
BFGS:   22 10:52:40      -38.949056        0.053559
BFGS:   23 10:57:17      -38.973499        0.024395
