      Step     Time          Energy          fmax
BFGS:    0 03:36:34     -128.574698        1.983742
BFGS:    1 03:37:09     -128.660066        1.779065
BFGS:    2 03:38:01     -129.026587        0.627684
BFGS:    3 03:38:47     -129.095455        0.191958
BFGS:    4 03:39:28     -129.108532        0.198590
BFGS:    5 03:40:03     -129.113621        0.205897
BFGS:    6 03:40:44     -129.124781        0.214825
BFGS:    7 03:41:31     -129.145598        0.281992
BFGS:    8 03:42:19     -129.172754        0.321441
BFGS:    9 03:43:04     -129.196916        0.297058
BFGS:   10 03:43:45     -129.212460        0.209339
BFGS:   11 03:44:22     -129.216484        0.140332
BFGS:   12 03:44:52     -129.218365        0.158021
BFGS:   13 03:45:33     -129.227545        0.204813
BFGS:   14 03:46:20     -129.242635        0.227056
BFGS:   15 03:47:09     -129.263656        0.179612
BFGS:   16 03:47:59     -129.278554        0.071952
BFGS:   17 03:48:41     -129.282862        0.047872
