      Step     Time          Energy          fmax
BFGS:    0 03:19:35     -128.574769        1.984631
BFGS:    1 03:20:17     -128.660099        1.779105
BFGS:    2 03:22:29     -129.026591        0.627689
BFGS:    3 03:23:34     -129.095448        0.191926
BFGS:    4 03:24:23     -129.108521        0.198596
BFGS:    5 03:25:15     -129.113611        0.205904
BFGS:    6 03:26:05     -129.124768        0.214821
BFGS:    7 03:26:50     -129.145579        0.281976
BFGS:    8 03:27:35     -129.172740        0.321456
BFGS:    9 03:28:18     -129.196907        0.297076
BFGS:   10 03:28:59     -129.212457        0.209361
BFGS:   11 03:29:35     -129.216483        0.140343
BFGS:   12 03:30:05     -129.218364        0.158014
BFGS:   13 03:30:46     -129.227542        0.204811
BFGS:   14 03:31:37     -129.242630        0.227087
BFGS:   15 03:32:28     -129.263647        0.179675
BFGS:   16 03:33:20     -129.278549        0.071985
BFGS:   17 03:34:03     -129.282857        0.047850
