      Step     Time          Energy          fmax
BFGS:    0 05:18:25      -79.731391        3.107958
BFGS:    1 05:20:38      -79.964271        2.577782
BFGS:    2 05:23:44      -80.608027        1.133679
BFGS:    3 05:26:34      -80.824212        0.477220
BFGS:    4 05:29:23      -80.887689        0.154961
BFGS:    5 05:31:34      -80.896963        0.173271
BFGS:    6 05:33:04      -80.899040        0.175515
BFGS:    7 05:35:04      -80.903185        0.174003
BFGS:    8 05:37:13      -80.910040        0.159279
BFGS:    9 05:39:53      -80.924175        0.140642
BFGS:   10 05:42:34      -80.936651        0.147869
BFGS:   11 05:45:01      -80.945123        0.124985
BFGS:   12 05:47:01      -80.948642        0.073597
BFGS:   13 05:48:18      -80.949029        0.060963
BFGS:   14 05:49:49      -80.949813        0.080443
BFGS:   15 05:51:19      -80.951415        0.096581
BFGS:   16 05:53:44      -80.956412        0.120166
BFGS:   17 05:56:23      -80.963386        0.122717
BFGS:   18 05:59:55      -80.974881        0.072000
BFGS:   19 06:02:13      -80.977435        0.035016
