      Step     Time          Energy          fmax
BFGS:    0 04:29:58      -79.731391        3.107958
BFGS:    1 04:31:56      -79.964271        2.577782
BFGS:    2 04:34:52      -80.608027        1.133679
BFGS:    3 04:37:43      -80.824212        0.477220
BFGS:    4 04:40:35      -80.887689        0.154961
BFGS:    5 04:42:46      -80.896963        0.173271
BFGS:    6 04:44:16      -80.899040        0.175515
BFGS:    7 04:46:12      -80.903185        0.174003
BFGS:    8 04:48:23      -80.910040        0.159279
BFGS:    9 04:51:01      -80.924175        0.140642
BFGS:   10 04:53:39      -80.936651        0.147869
BFGS:   11 04:56:06      -80.945123        0.124985
BFGS:   12 04:58:05      -80.948642        0.073597
BFGS:   13 04:59:21      -80.949029        0.060963
BFGS:   14 05:00:52      -80.949813        0.080443
BFGS:   15 05:02:23      -80.951415        0.096581
BFGS:   16 05:04:49      -80.956412        0.120166
BFGS:   17 05:07:26      -80.963386        0.122717
BFGS:   18 05:10:58      -80.974881        0.072000
BFGS:   19 05:13:11      -80.977435        0.035016
