      Step     Time          Energy          fmax
BFGS:    0 21:50:05     -312.203973        2.206006
BFGS:    1 21:57:27     -312.311490        1.967054
BFGS:    2 22:10:39     -312.744780        0.725481
BFGS:    3 22:25:36     -312.853301        0.174931
BFGS:    4 22:36:31     -312.877219        0.215496
BFGS:    5 22:46:29     -312.890243        0.233818
BFGS:    6 22:57:13     -312.913944        0.324010
BFGS:    7 23:10:21     -312.957318        0.422584
BFGS:    8 23:26:50     -313.017874        0.410048
BFGS:    9 23:39:25     -313.072625        0.377538
BFGS:   10 23:49:22     -313.112109        0.247772
BFGS:   11 23:58:36     -313.121323        0.185026
BFGS:   12 00:06:44     -313.126794        0.217663
BFGS:   13 00:17:59     -313.153113        0.289808
BFGS:   14 00:31:53     -313.186973        0.301254
BFGS:   15 00:51:17     -313.231407        0.193012
BFGS:   16 01:05:38     -313.247930        0.110712
BFGS:   17 01:16:33     -313.252600        0.092315
BFGS:   18 01:26:08     -313.255023        0.078234
BFGS:   19 01:37:18     -313.260555        0.088596
BFGS:   20 01:52:15     -313.271265        0.118311
BFGS:   21 02:06:35     -313.289412        0.129815
BFGS:   22 02:20:55     -313.304712        0.095879
BFGS:   23 02:33:19     -313.311725        0.089260
BFGS:   24 02:42:11     -313.313477        0.074410
BFGS:   25 02:51:35     -313.315302        0.057676
BFGS:   26 03:04:01     -313.319354        0.044372
