      Step     Time          Energy          fmax
BFGS:    0 15:52:03     -312.778853        0.414631
      Step     Time          Energy          fmax
BFGS:    0 16:55:52     -312.778853        0.414631
BFGS:    1 17:09:01     -312.793835        0.400774
BFGS:    2 17:38:40     -313.065092        0.142297
BFGS:    3 17:49:57     -313.073597        0.187302
BFGS:    4 18:01:09     -313.083235        0.218781
BFGS:    5 18:11:40     -313.106092        0.253936
BFGS:    6 18:22:04     -313.146389        0.268589
BFGS:    7 18:33:26     -313.194298        0.227309
BFGS:    8 18:45:38     -313.228857        0.116685
BFGS:    9 18:56:29     -313.238171        0.109020
BFGS:   10 19:03:07     -313.241595        0.114017
BFGS:   11 19:11:08     -313.250431        0.126759
BFGS:   12 19:19:49     -313.266590        0.129486
BFGS:   13 19:29:47     -313.292555        0.107103
BFGS:   14 19:38:58     -313.311521        0.059319
BFGS:   15 19:49:39     -313.318652        0.072336
BFGS:   16 19:57:37     -313.320637        0.066766
BFGS:   17 20:05:03     -313.322542        0.058366
BFGS:   18 20:14:57     -313.326915        0.053697
BFGS:   19 20:25:54     -313.335639        0.063602
BFGS:   20 20:37:26     -313.351200        0.059902
BFGS:   21 20:48:33     -313.360558        0.053571
BFGS:   22 20:59:00     -313.364359        0.052533
BFGS:   23 21:06:04     -313.365359        0.050196
BFGS:   24 21:12:02     -313.366820        0.051116
BFGS:   25 21:18:00     -313.369243        0.051958
BFGS:   26 21:28:44     -313.375170        0.045519
