      Step     Time          Energy          fmax
BFGS:    0 05:40:19     -142.200299        1.458071
BFGS:    1 05:40:54     -142.274191        1.396297
BFGS:    2 05:41:51     -142.817230        0.896836
BFGS:    3 05:42:49     -143.126099        0.560470
BFGS:    4 05:43:45     -143.280077        0.561146
BFGS:    5 05:44:39     -143.335829        0.657098
BFGS:    6 05:45:27     -143.381258        0.694241
BFGS:    7 05:46:24     -143.472612        0.696698
BFGS:    8 05:47:20     -143.591791        0.609420
BFGS:    9 05:48:16     -143.777951        0.392837
BFGS:   10 05:49:12     -143.939852        0.245038
BFGS:   11 05:50:08     -144.007716        0.267548
BFGS:   12 05:50:48     -144.024213        0.256372
BFGS:   13 05:51:41     -144.084378        0.244963
BFGS:   14 05:52:26     -144.149567        0.270967
BFGS:   15 05:53:19     -144.297478        0.227344
BFGS:   16 05:54:10     -144.365117        0.236928
BFGS:   17 05:55:03     -144.392995        0.226233
BFGS:   18 05:55:45     -144.407088        0.202424
BFGS:   19 05:56:27     -144.431831        0.166385
BFGS:   20 05:57:15     -144.485996        0.175250
BFGS:   21 05:58:02     -144.539250        0.183568
BFGS:   22 05:58:58     -144.600598        0.140747
BFGS:   23 05:59:42     -144.612793        0.122799
BFGS:   24 06:00:19     -144.616785        0.121336
BFGS:   25 06:00:56     -144.622036        0.113821
BFGS:   26 06:01:38     -144.634178        0.090094
BFGS:   27 06:02:20     -144.649476        0.068731
BFGS:   28 06:03:02     -144.662884        0.071653
BFGS:   29 06:03:41     -144.666927        0.078995
BFGS:   30 06:04:12     -144.668203        0.070847
BFGS:   31 06:04:39     -144.669384        0.060894
BFGS:   32 06:05:10     -144.672946        0.052624
BFGS:   33 06:05:47     -144.677444        0.046181
