      Step     Time          Energy          fmax
FIRE:    0 20:21:20     -142.493628        1.714753
FIRE:    1 20:22:44     -142.545464        1.602710
FIRE:    2 20:24:23     -142.636667        1.390526
FIRE:    3 20:26:15     -142.746912        1.116125
FIRE:    4 20:28:13     -142.854885        0.817343
FIRE:    5 20:30:23     -142.944194        0.541658
FIRE:    6 20:32:29     -143.006515        0.342655
FIRE:    7 20:34:45     -143.040370        0.245986
FIRE:    8 20:37:01     -143.051645        0.214486
FIRE:    9 20:39:17     -143.047148        0.307152
FIRE:   10 20:41:36     -143.035771        0.382585
FIRE:   11 20:42:43     -143.037107        0.377472
FIRE:   12 20:43:45     -143.039741        0.368317
FIRE:   13 20:44:40     -143.043544        0.354701
FIRE:   14 20:45:51     -143.048352        0.337216
FIRE:   15 20:47:01     -143.053962        0.316093
FIRE:   16 20:48:12     -143.060136        0.292075
FIRE:   17 20:49:22     -143.066631        0.264607
FIRE:   18 20:50:38     -143.073857        0.233323
FIRE:   19 20:52:01     -143.081580        0.192243
FIRE:   20 20:53:27     -143.089176        0.140212
FIRE:   21 20:55:01     -143.095819        0.085281
