      Step     Time          Energy          fmax
BFGS:    0 19:46:35     -142.200299        1.458071
BFGS:    1 19:47:13     -142.274191        1.396297
BFGS:    2 19:48:17     -142.817230        0.896836
BFGS:    3 19:49:23     -143.126099        0.560470
BFGS:    4 19:50:35     -143.280077        0.561146
BFGS:    5 19:51:36     -143.335829        0.657098
BFGS:    6 19:52:30     -143.381258        0.694241
BFGS:    7 19:53:36     -143.472612        0.696698
BFGS:    8 19:54:40     -143.591791        0.609420
BFGS:    9 19:55:45     -143.777951        0.392837
BFGS:   10 19:56:50     -143.939852        0.245038
BFGS:   11 19:57:55     -144.007716        0.267548
BFGS:   12 19:58:42     -144.024213        0.256372
BFGS:   13 19:59:44     -144.084378        0.244963
BFGS:   14 20:00:37     -144.149567        0.270967
BFGS:   15 20:01:39     -144.297478        0.227344
BFGS:   16 20:02:38     -144.365117        0.236928
BFGS:   17 20:03:41     -144.392995        0.226233
BFGS:   18 20:04:30     -144.407088        0.202424
BFGS:   19 20:05:20     -144.431831        0.166385
BFGS:   20 20:06:16     -144.485996        0.175250
BFGS:   21 20:07:11     -144.539250        0.183568
BFGS:   22 20:08:24     -144.600598        0.140747
BFGS:   23 20:09:27     -144.612793        0.122799
BFGS:   24 20:10:15     -144.616785        0.121336
BFGS:   25 20:11:03     -144.622036        0.113821
BFGS:   26 20:11:58     -144.634178        0.090094
BFGS:   27 20:12:54     -144.649476        0.068731
BFGS:   28 20:13:44     -144.662884        0.071653
BFGS:   29 20:14:25     -144.666927        0.078995
BFGS:   30 20:14:59     -144.668203        0.070847
BFGS:   31 20:15:26     -144.669384        0.060894
BFGS:   32 20:15:59     -144.672946        0.052624
BFGS:   33 20:16:38     -144.677444        0.046181
