      Step     Time          Energy          fmax
BFGS:    0 19:08:46     -142.212635        1.223659
BFGS:    1 19:09:18     -142.272302        1.112805
BFGS:    2 19:10:20     -142.740689        0.278142
BFGS:    3 19:11:19     -142.884681        0.389939
BFGS:    4 19:12:09     -142.928583        0.597361
BFGS:    5 19:13:01     -142.962425        0.709440
BFGS:    6 19:13:51     -143.025678        0.786241
BFGS:    7 19:14:43     -143.133684        0.755324
BFGS:    8 19:15:41     -143.261716        0.566089
BFGS:    9 19:16:36     -143.367162        0.397169
BFGS:   10 19:17:34     -143.422849        0.518615
BFGS:   11 19:18:15     -143.438751        0.510364
BFGS:   12 19:19:02     -143.482430        0.434779
BFGS:   13 19:19:57     -143.557448        0.341489
BFGS:   14 19:20:56     -143.679775        0.331550
BFGS:   15 19:21:49     -143.769021        0.379956
BFGS:   16 19:22:38     -143.795511        0.401306
BFGS:   17 19:23:22     -143.810432        0.385486
BFGS:   18 19:24:08     -143.831236        0.343705
BFGS:   19 19:24:54     -143.869157        0.257128
BFGS:   20 19:25:46     -143.929047        0.214481
BFGS:   21 19:26:41     -143.984401        0.198517
BFGS:   22 19:27:32     -144.010684        0.136091
BFGS:   23 19:28:13     -144.016644        0.129698
BFGS:   24 19:28:54     -144.020805        0.144223
BFGS:   25 19:29:35     -144.030572        0.169384
BFGS:   26 19:30:23     -144.047800        0.189591
BFGS:   27 19:31:10     -144.068784        0.179150
BFGS:   28 19:31:56     -144.081643        0.146211
BFGS:   29 19:32:37     -144.086116        0.128887
BFGS:   30 19:33:12     -144.089016        0.124123
BFGS:   31 19:33:53     -144.095527        0.120173
BFGS:   32 19:34:36     -144.107921        0.120139
BFGS:   33 19:35:25     -144.127827        0.126233
BFGS:   34 19:36:16     -144.146517        0.116937
BFGS:   35 19:37:03     -144.157921        0.112804
BFGS:   36 19:37:45     -144.161079        0.120708
BFGS:   37 19:38:17     -144.163427        0.124233
BFGS:   38 19:38:59     -144.169490        0.126248
BFGS:   39 19:39:43     -144.179101        0.117236
BFGS:   40 19:40:31     -144.189430        0.086300
BFGS:   41 19:41:16     -144.194672        0.064872
BFGS:   42 19:41:52     -144.196306        0.057927
BFGS:   43 19:42:24     -144.196993        0.057823
BFGS:   44 19:42:57     -144.198648        0.057960
BFGS:   45 19:43:33     -144.201617        0.055068
BFGS:   46 19:44:14     -144.205814        0.050606
BFGS:   47 19:44:56     -144.209027        0.044219
